Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
314.27028	314.2701	.0002	SPB 18:1;O3	C18H37NO3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SPB 18:1;O3
417.31403	417.3141	.0001	FA 24:1;O	C24H46O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 24:1;O
435.25197	435.2517	.0002	LPA 18:1	C21H41O7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPA 18:1
479.30160	479.3014	.0002	ST 27:2;O7	C27H44O7	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 27:2;O7
479.30160	479.3014	.0002	ST 26:2;O5	C26H42O5	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 26:2;O5
479.30160	479.3014	.0002	ST 25:2;O5	C25H40O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 25:2;O5
395.25701	395.2568	.0002	LPA O-16:0	C19H41O6P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPA O-16:0
437.26743	437.2674	.0001	LPA 18:0	C21H43O7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPA 18:0
437.26743	437.2675	.0001	WE 22:1;O4	C22H42O6	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 22:1;O4
397.33206	397.3323	.0003	FA 24:1;O2	C24H46O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 24:1;O2
397.33206	397.3323	.0003	FA 23:1	C23H44O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 23:1
397.33206	397.3323	.0003	SFE 23:1	C23H44O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 23:1
397.33206	397.3323	.0003	WE 23:1	C23H44O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=WE 23:1
397.33206	397.3323	.0003	FA 22:1	C22H42O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 22:1
397.33206	397.3323	.0003	SFE 22:1	C22H42O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 22:1
397.33206	397.3323	.0003	WE 22:1	C22H42O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=WE 22:1
356.28074	356.2806	.0001	SPB 19:2;O2	C19H37NO2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SPB 19:2;O2
356.28074	356.2806	.0001	NAE 16:1	C18H35NO2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=NAE 16:1
356.28074	356.2806	.0001	SPB 18:2;O2	C18H35NO2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SPB 18:2;O2
354.26502	354.2650	.0000	SPB 19:3;O2	C19H35NO2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SPB 19:3;O2
354.26502	354.2650	.0000	SPB 18:3;O2	C18H33NO2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SPB 18:3;O2
393.25661	393.2566	.0000	FA 24:5	C24H38O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 24:5
393.25661	393.2566	.0000	ST 24:2;O2	C24H38O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=ST 24:2;O2
340.28565	340.2857	.0001	Cer 20:1;O2	C20H39NO3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=Cer 20:1;O2
243.19641	243.1966	.0002	FA 14:0;O	C14H28O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 14:0;O
383.29574	383.2956	.0002	FA 26:6	C26H40O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 26:6
433.23616	433.2361	.0001	LPA 18:2	C21H39O7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=LPA 18:2
295.26428	295.2643	.0000	FA 19:1	C19H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 19:1
295.26428	295.2643	.0000	SFE 19:1	C19H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=SFE 19:1
295.26428	295.2643	.0000	WE 19:1	C19H36O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=WE 19:1
295.26428	295.2642	.0000	TG 54:1	C57H108O6	[M-3H]3-	/resources/tools/chemdb_ontology?abbrev=TG 54:1
315.23310	315.2330	.0001	FA 21:5	C21H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 21:5
315.23310	315.2330	.0001	ST 21:2;O2	C21H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O2
341.26987	341.2697	.0001	FA 20:1;O2	C20H38O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:1;O2
341.26987	341.2697	.0001	FA 19:1	C19H36O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 19:1
341.26987	341.2697	.0001	SFE 19:1	C19H36O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 19:1
341.26987	341.2697	.0001	WE 19:1	C19H36O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=WE 19:1
341.26987	341.2697	.0001	FA 18:1	C18H34O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1
341.26987	341.2697	.0001	SFE 18:1	C18H34O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:1
287.20173	287.2017	.0001	FA 19:5	C19H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 19:5
287.20173	287.2017	.0001	ST 19:2;O2	C19H28O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 19:2;O2
360.31215	360.3119	.0002	SPB 18:0;O2	C18H39NO2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SPB 18:0;O2
359.29572	359.2956	.0002	FA 24:4	C24H40O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 24:4
359.29572	359.2956	.0002	ST 24:1;O2	C24H40O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=ST 24:1;O2
287.17817	287.1783	.0002	FA 16:2	C16H28O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 16:2
287.17817	287.1783	.0002	SFE 16:2	C16H28O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=SFE 16:2
287.17817	287.1783	.0002	WE 16:2	C16H28O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 16:2
393.27812	393.2777	.0004	MG 18:0	C21H42O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=MG 18:0
393.27812	393.2777	.0004	MG O-18:1;O	C21H42O4	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=MG O-18:1;O
327.23323	327.2330	.0003	FA 22:6	C22H32O2	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:6